year_quarter,z_t
2010-07-01,1.546069270734102
2010-10-01,-0.19483050735840018
2011-01-01,-0.25166475627067303
2011-04-01,1.4139106221697677
2011-07-01,0.8047566664571119
2011-10-01,1.3025370002037508
2012-01-01,1.6175660087877057
2012-04-01,-0.0031937878825968814
2012-07-01,0.4871957161529195
2012-10-01,-0.39393139603044625
2013-01-01,-0.5074432013091109
2013-04-01,-0.14043118946175778
2013-07-01,-0.3762389984920332
2013-10-01,-0.6914626349490598
2014-01-01,-1.2601399138560945
2014-04-01,-1.4319499239276074
2014-07-01,-1.4952055761485998
2014-10-01,-1.6160049865110402
2015-01-01,-2.1499867259491894
2015-04-01,-2.213508905716877
2015-07-01,-2.11296794990167
2015-10-01,-1.9415133401014968
2016-01-01,-0.3922158854585487
2016-04-01,1.1852647054518182
2016-07-01,0.9964538056229971
2016-10-01,1.4839388068504586
2017-01-01,1.4722832719693018
2017-04-01,1.3488636269946486
2017-07-01,1.3800381974089488
2017-10-01,0.5911127663909957
2018-01-01,0.01343078507670981
2018-04-01,-0.8222761766924115
2018-07-01,-0.886775285136095
2018-10-01,-1.04423884781195
2019-01-01,-1.345448745286882
2019-04-01,-1.6745201029607797
2019-07-01,-1.6974827149659493
2019-10-01,-1.6336620196351115
2020-01-01,-1.822109717098141
2020-04-01,1.15913217375367
2020-07-01,1.030066535647645
2020-10-01,1.721018572806282
2021-01-01,2.3877911479756744
2021-04-01,2.0189195450259416
2021-07-01,1.759964616976433
2021-10-01,2.049997207741014
2022-01-01,1.1774375188381037
2022-04-01,1.2366317567361353
2022-07-01,-1.112782265806478
2022-10-01,2.2795450297994875
2023-01-01,-2.155664173225977
2023-04-01,-3.8873466440055315
