,Zt
2010-07-01,0.853099001209741
2010-10-01,0.22586740042752407
2011-01-01,0.12060251345719006
2011-04-01,0.1651876428191403
2011-07-01,-0.2847355385322745
2011-10-01,-0.258296123738505
2012-01-01,-0.20875808286170758
2012-04-01,-0.08286953670064065
2012-07-01,-0.1489190737249604
2012-10-01,0.14425482563055608
2013-01-01,0.5455894438755552
2013-04-01,0.9029644525680185
2013-07-01,1.131938492586848
2013-10-01,0.981305599165981
2014-01-01,0.3978441423591786
2014-04-01,-0.29548190056555274
2014-07-01,-0.5135567849044189
2014-10-01,-0.5129345682576718
2015-01-01,-0.536922272579576
2015-04-01,-0.600405713184688
2015-07-01,-0.5106799455359551
2015-10-01,-0.29108849424543826
2016-01-01,0.10558523946063439
2016-04-01,0.2974295789863404
2016-07-01,0.45667178873251785
2016-10-01,0.8227606335983225
2017-01-01,0.8803840603823653
2017-04-01,0.8837445885557113
2017-07-01,0.667509730258628
2017-10-01,0.41494826123450357
2018-01-01,-0.12809854973205
2018-04-01,-0.11993818132283592
2018-07-01,-0.2927420603444555
2018-10-01,-0.6705958521521619
2019-01-01,-1.3482809128711235
2019-04-01,-1.8313713928032933
2019-07-01,-1.6224007093946922
2019-10-01,-1.5102181638428767
2020-01-01,-0.889845889220616
2020-04-01,0.5712635418869385
2020-07-01,1.1042812743428898
2020-10-01,1.132979976472562
2021-01-01,1.3814582439142893
2021-04-01,1.4424251704795064
2021-07-01,1.3979636194990441
2021-10-01,1.0534280674328775
2022-01-01,0.560256147609385
2022-04-01,0.04618924937304935
2022-07-01,-0.11799765000896782
2022-10-01,-0.10236239450669803
2023-01-01,-0.31008320204918083
2023-04-01,2.9872849844707563
