,Zt
2010-07-01,1.2142810609394674
2010-10-01,0.44732049544782204
2011-01-01,0.3877141427661456
2011-04-01,1.2078743413045279
2011-07-01,0.8060401259888945
2011-10-01,0.7918641459160304
2012-01-01,1.2639879162531567
2012-04-01,0.3999092139724419
2012-07-01,0.4582386964916378
2012-10-01,0.24584705158158723
2013-01-01,0.17735729589568114
2013-04-01,0.3289462072915712
2013-07-01,0.2382166038788886
2013-10-01,-0.009344123854674488
2014-01-01,-0.5587447991923756
2014-04-01,-0.6180557061490948
2014-07-01,-0.7276888178946034
2014-10-01,-0.8153083068734623
2015-01-01,-1.3779760335454643
2015-04-01,-1.4913010930849255
2015-07-01,-1.328112379152545
2015-10-01,-1.1831849208694238
2016-01-01,0.27285241906038776
2016-04-01,0.5479301786835247
2016-07-01,0.5593093684065186
2016-10-01,1.1835450468758142
2017-01-01,1.204820053413211
2017-04-01,1.1367218120360212
2017-07-01,1.195583716231655
2017-10-01,0.6549466925631675
2018-01-01,0.4549635330122328
2018-04-01,-0.06443112092843267
2018-07-01,-0.2570886958646653
2018-10-01,-0.14433691808287172
2019-01-01,-0.5046440228225045
2019-04-01,-0.8000685105421766
2019-07-01,-0.7969871499668024
2019-10-01,-0.8093795404059771
2020-01-01,-1.0287808803771359
2020-04-01,0.8644260148019929
2020-07-01,0.8942407981192233
2020-10-01,1.4721631302348908
2021-01-01,2.2718511075627075
2021-04-01,1.7993236533859982
2021-07-01,1.5429437732236786
2021-10-01,1.8929819684674736
2022-01-01,0.7791172711231041
2022-04-01,0.8079051989009304
2022-07-01,-0.35238989049206315
2022-10-01,-1.4752221715423535
2023-01-01,-1.4717949035826394
2023-04-01,-2.821952131160571
