,Zt
2010-07-01,-1.6524932978192026
2010-10-01,0.8349996829365839
2011-01-01,0.8647074150457137
2011-04-01,1.4908306028312872
2011-07-01,1.0430157899759092
2011-10-01,-0.5315392025927163
2012-01-01,-0.45005973662689036
2012-04-01,1.2234752184193292
2012-07-01,-0.7851102511857092
2012-10-01,-0.6130184924286843
2013-01-01,1.7995529371924956
2013-04-01,1.883296043141682
2013-07-01,1.6912858757433165
2013-10-01,1.0801271765216873
2014-01-01,1.0409397359701902
2014-04-01,-0.7596264166978703
2014-07-01,-1.3800394085560455
2014-10-01,-1.2069817745754905
2015-01-01,-1.3498435209570583
2015-04-01,-0.2807215720923267
2015-07-01,-0.11757759692747972
2015-10-01,0.013002985598760444
2016-01-01,0.03150757271166153
2016-04-01,-1.055416585135634
2016-07-01,1.0828528162649238
2016-10-01,0.9636261242157627
2017-01-01,0.9209044434215062
2017-04-01,0.006570147147326305
2017-07-01,-0.1573620150559169
2017-10-01,-1.1613732617378596
2018-01-01,-0.21008522584784559
2018-04-01,-0.28045821590228054
2018-07-01,0.07419088286484819
2018-10-01,0.9247616564257374
2019-01-01,-1.645480246851786
2019-04-01,-1.8529393356600048
2019-07-01,-1.5956397758577543
2019-10-01,-1.5552615987849547
2020-01-01,-0.7446169080829479
2020-04-01,1.4833175007333055
2020-07-01,0.7095259947148909
2020-10-01,0.6514765126503659
2021-01-01,0.9049455947018934
2021-04-01,1.48889518151151
2021-07-01,1.1249597299574747
2021-10-01,1.5691682103900304
2022-01-01,0.9375300246878538
2022-04-01,0.8849048968784871
2022-07-01,0.8143047953920759
2022-10-01,-0.1215657095532248
2023-01-01,-1.042635987629135
