,Zt
2010-07-01,0.20976303050117578
2010-10-01,1.0333954292084047
2011-01-01,1.0425311129346808
2011-04-01,0.6405627438448261
2011-07-01,0.6087212788277198
2011-10-01,0.2218476965284984
2012-01-01,0.16541290177289936
2012-04-01,0.9861613652437952
2012-07-01,1.2558652394018621
2012-10-01,1.384332755731916
2013-01-01,1.5445431524007507
2013-04-01,0.6397452411928544
2013-07-01,0.44997732195997836
2013-10-01,0.7279014417958001
2014-01-01,0.6350794443735835
2014-04-01,0.4639375533118564
2014-07-01,0.6586277377731501
2014-10-01,0.5396173916319278
2015-01-01,0.2539566482343836
2015-04-01,-0.23441385425718006
2015-07-01,-0.2238204990762063
2015-10-01,-0.11729728595001264
2016-01-01,0.1957821790774838
2016-04-01,0.3356103536425677
2016-07-01,0.2198471036503033
2016-10-01,0.2611555637090588
2017-01-01,0.37106177606160656
2017-04-01,0.27330894132064776
2017-07-01,0.19764428121617245
2017-10-01,0.05138935366947064
2018-01-01,-0.0165423681598369
2018-04-01,-0.19086787429747903
2018-07-01,-0.4735804156321792
2018-10-01,-0.6708796679502924
2019-01-01,-1.4107505775045304
2019-04-01,-1.3979568023967732
2019-07-01,-1.562821687949222
2019-10-01,-1.489390386631484
2020-01-01,-1.4895119176157476
2020-04-01,-0.4957229795196093
2020-07-01,1.4249904460348803
2020-10-01,1.28864631760245
2021-01-01,1.34319763637415
2021-04-01,1.4397494157935096
2021-07-01,0.06891689892824693
2021-10-01,-0.3006857025628675
2022-01-01,-0.42886853860626223
2022-04-01,-0.03349510351515038
2022-07-01,-0.340857674120585
2022-10-01,-1.4141169363573587
2023-01-01,-0.6694475666683566
2023-04-01,-2.9283076151338694
