,Zt
2010-07-01,1.396293609153681
2010-10-01,0.13615461747330332
2011-01-01,-0.046046315115184235
2011-04-01,-0.09040552868120018
2011-07-01,0.29624579471631296
2011-10-01,1.0777933993365976
2012-01-01,-0.336186746329644
2012-04-01,0.044193782467889325
2012-07-01,0.2158100991183307
2012-10-01,0.31062609831573057
2013-01-01,0.23879921356405862
2013-04-01,0.37813784464577327
2013-07-01,0.3232212368481459
2013-10-01,0.31204384348947484
2014-01-01,0.28301830032838815
2014-04-01,0.2591515937514695
2014-07-01,0.21488374543109914
2014-10-01,-0.06428728675124408
2015-01-01,-0.024357007061373788
2015-04-01,0.09676669457631142
2015-07-01,-0.3489416031528639
2015-10-01,-0.28333982209143116
2016-01-01,-0.28481642313731753
2016-04-01,-0.311861887164455
2016-07-01,-0.30566666050925834
2016-10-01,0.37770327461919945
2017-01-01,0.5020781538026252
2017-04-01,1.0108356861273669
2017-07-01,0.71709226829686
2017-10-01,0.07476672593837042
2018-01-01,0.0661430511172938
2018-04-01,-0.02073834766454935
2018-07-01,-0.07002346982008624
2018-10-01,-0.023854238161513972
2019-01-01,-1.1603250338936963
2019-04-01,-1.6545366941363282
2019-07-01,-1.6916612744222783
2019-10-01,-1.6351955694229943
2020-01-01,-0.9872056149660238
2020-04-01,-0.8168610128931378
2020-07-01,1.299365137401251
2020-10-01,1.4815317063813176
2021-01-01,1.689552427544771
2021-04-01,1.7359592883159665
2021-07-01,1.761054932715008
2021-10-01,1.250909159412115
2022-01-01,0.6377971930063189
2022-04-01,0.08428838313262792
2022-07-01,-0.024691429886149186
2022-10-01,-0.5600643303629705
2023-01-01,-0.3888431588616789
2023-04-01,-2.854437615808772
