,Zt
2010-07-01,0.30921633314606184
2010-10-01,0.30921633314606184
2011-01-01,0.10571099325731687
2011-04-01,0.4933106652381359
2011-07-01,0.6421244016314579
2011-10-01,1.7505850548635262
2012-01-01,1.928217395657864
2012-04-01,1.6396237319624758
2012-07-01,1.4707083722625967
2012-10-01,-0.09511762586398259
2013-01-01,-0.10950861423494014
2013-04-01,-0.05697428147894131
2013-07-01,-0.05704480791657459
2013-10-01,-0.010021734353577358
2014-01-01,0.033682917213767025
2014-04-01,-0.06279802857739568
2014-07-01,0.9102542979918187
2014-10-01,-0.11864559450579032
2015-01-01,1.1065130977810154
2015-04-01,1.1296554034069377
2015-07-01,1.2936425848584434
2015-10-01,1.184312952730732
2016-01-01,0.8419750799907345
2016-04-01,0.9042170267551952
2016-07-01,-0.2731901782235084
2016-10-01,-0.2110725314577079
2017-01-01,-0.18375628223452953
2017-04-01,-0.15261073949016513
2017-07-01,-0.3348162474818733
2017-10-01,-0.5839130766439785
2018-01-01,-0.236225097206855
2018-04-01,0.1440958007265889
2018-07-01,0.2858804729091763
2018-10-01,0.10510621278656852
2019-01-01,-0.8306111596348844
2019-04-01,-0.5895446164113302
2019-07-01,-0.9789220907046143
2019-10-01,-0.6916748815410763
2020-01-01,-0.3021786060928258
2020-04-01,-0.20441111461369832
2020-07-01,-0.17352101403998474
2020-10-01,1.04570989441392
2021-01-01,1.0771666565687903
2021-04-01,1.4994334262808244
2021-07-01,1.2642512944286395
2021-10-01,-0.8463804935673089
2022-01-01,-0.7664155688011222
2022-04-01,-0.5841698741706005
2022-07-01,-0.8751296906231175
2022-10-01,-2.4582792041925816
2023-01-01,-1.4787413808598018
2023-04-01,3.2267545935900723
