,const,ZstarL0,ZstarL1,X_L0_US_Central_bank_Intervention_rate_policy_interest_rate,X_L0_US_Effective_exchange_rate,X_L0_US_Equity_prices,X_L0_US_GDP_Growth_Rate,X_L0_US_House_prices_residential,X_L0_US_Inflation_rate,X_L0_US_Long_term_interest_rate,X_L0_US_Oil_price,X_L0_US_Unemployment_rate,X_L1_US_Central_bank_Intervention_rate_policy_interest_rate,X_L1_US_Effective_exchange_rate,X_L1_US_Equity_prices,X_L1_US_GDP_Growth_Rate,X_L1_US_House_prices_residential,X_L1_US_Inflation_rate,X_L1_US_Long_term_interest_rate,X_L1_US_Oil_price,X_L1_US_Unemployment_rate
Construction & immobilier,-1.6344009139236548,-0.4187858049008663,0.4665666703327273,-0.8632103816285795,-0.04044599965300479,0.02319380084296719,0.012175852362543288,-0.013994475842413368,0.5126727744691648,0.499599212412457,-0.041394527822501845,0.1946520498727884,0.6577333244601482,0.09996305759633795,0.02022906888294639,0.052260758869203006,-0.09269515745861222,-0.02666910253025309,0.6565880081164117,0.013466497818480996,0.1704782513407953
Finance,11.614532348535382,0.648238196948993,0.16993701722791682,2.19659332773888,0.005353561078844337,0.004929312244786839,-0.07618910501354405,-0.024582266165700112,-0.1695400018213406,0.42765472045176856,-0.01830605268781822,0.21619370000493168,-1.6505947956963825,-0.05218006924068206,0.05925616055085542,-0.020005450707735125,-0.09294348054506074,-0.021108760217451603,-1.145892697925701,0.012329807822833456,-0.03036560819248526
Industrie,-3.2516621325084447,0.8665432827537319,0.3243453778478795,-1.090397672848499,-0.002507575812071231,0.008406356943750058,-0.057178135794085844,-0.19825777636675512,-0.04663447519162987,0.6726952905973549,-0.011313319497545004,-0.0323797598837115,0.563747585988397,0.03022059053191809,-0.009143308552787445,-0.004230417229349635,0.20684779655389554,0.03663359811078237,-0.3140995216374345,0.0036756735734604666,0.11130018735672237
Info-com,5.0704156014967605,-0.00965006382400252,0.5918649531056195,0.9866932918950186,-0.04768216997080477,-0.004179299520204743,0.3620456984013713,-0.19047941492177203,-0.0433755643979978,0.15772878939589996,-0.03199297610380882,0.7510014534901959,-0.9685399244310158,0.04865941155969451,0.060933099891609346,0.07314262238952134,0.08479053446359178,-0.10586309357782134,-0.4040908573625983,0.027865770494647182,-0.41641323337032365
Primaires & énergie,9.969596906820174,0.8105400270633908,0.56281972451623,0.21092921039811968,-0.018002512733961515,-0.013713538886995606,0.19266035644574747,-0.3796833799381736,0.509337295188334,-0.6273627336724147,-0.01939609500879661,0.28374524952785696,0.6762233624100848,-0.0359838789379631,0.004010484440946871,0.16281351628636545,0.3675818887812793,0.02338581583060284,-0.3436016144320265,-0.02122771899799885,-0.10784072646523561
Public & services non-marchands,9.104317838109987,0.4519597308592036,0.027848490312668478,1.7610279030998974,-0.09261546479088097,-0.005978971873058237,-0.2445404282051062,0.3266128011627718,0.3519212123735996,-0.5986586780510199,-0.005126747940883582,-0.1677381482687879,-1.3234624716084515,-0.0068427172733839595,-0.030241300446419192,-0.11581681210769149,-0.2771551932158648,-0.46941387260758344,-0.23956861675343838,0.008520261601379035,0.07002845326694808
Services,7.097345513790007,0.8838936593549391,0.18473721294400822,1.0628973383671632,-0.003759800933202266,0.006887251849069946,-0.011244496977487093,-0.022438390464502064,-0.12581847332218987,0.04663833387999611,-0.007771114179492275,0.0035908285440903534,-0.7766716605555888,-0.009666459402928061,0.031660345174673206,-0.01899054530967624,-0.05448682259328061,0.13385589294626754,-0.7362751555390693,0.006044695145470391,0.002594754030042064
Services pro,-20.015261809724468,1.6690154673558817,0.07605568045252374,-0.516193844245564,0.04550942037968191,-0.01516432567179626,-0.3023330960743629,0.18930803601726104,-0.5314569218086334,0.48726057128397327,0.05373500054048518,-0.22393236342797335,0.4502065838914526,0.0526623622351552,-0.010881088331943792,-0.1620340052846275,-0.09380180321467145,0.14391346718822395,0.11169778787688472,-0.010967692689541553,0.10377974911160479
