,Construction & immobilier,Finance,Industrie,Info-com,Primaires & énergie,Public & services non-marchands,Services,Services pro
2010-10-01,-1.955674286649526,1.0530435313988613,0.5356291171963613,-0.12147840881952199,0.338456494961506,-0.2403753124859367,0.6852859189290872,0.8292925126434476
2011-01-01,0.6828095099548332,-0.8712805288662899,-0.1563653209879765,0.16878501203272855,-0.16491531620175182,-0.22131836498052648,0.018023374644838386,-0.6574085216748093
2011-04-01,0.4405689526516683,0.15957349711834068,-0.06423752798817672,-0.08763656594264829,0.2199324376918772,0.489255733701049,-0.435907289425999,-0.5797826860354722
2011-07-01,0.720056122603161,-0.6558468650258321,-0.2545885682108273,-0.1461824191274147,-0.020672262113311968,-0.2039862082947905,0.0804735725004515,-0.2633148421799625
2011-10-01,-1.838487006971619,0.039052059973690545,0.10039788096652405,0.05932383185971141,0.1558504436176349,0.5325667463924393,-0.07348291185021394,0.4172945788589648
2012-01-01,1.832116911283043,-0.18302549172839516,-0.34126762256588694,-0.22632166327635161,0.21537109828661516,-0.14911680163418803,-0.6318449806960071,0.03810495499652977
2012-04-01,-0.9072366703611094,0.45627502718635965,0.35775168116668365,0.3257997769838552,0.13271941030426074,-0.8354024302947829,0.36611482469288564,0.7191592498517306
2012-07-01,-0.3680808539422653,0.7718579964398491,-0.16533971502361336,-0.7572183325695606,0.0443294051648771,0.48041760086773344,0.3329129394986523,-0.035502406540297016
2012-10-01,-0.5940913427789443,0.41857695572732656,-0.08086857662336988,0.29741991967493053,-0.170101225720573,0.05657884082160125,-0.04843159825262633,-0.4076979245834915
2013-01-01,0.7123017208200162,-0.8733554699543671,-0.03938154616731371,0.2342524331749427,-0.3161825997235814,0.569306521105398,-0.13799340594834897,-0.5234528515842324
2013-04-01,0.23666174481517555,-0.9060376987990453,0.13128414413560008,-0.602961958940082,-0.09789231193406152,0.2986503467526087,0.1586867224077847,-0.5315899215598321
2013-07-01,0.4790549554535479,0.7498156611191575,0.0982120868583567,-0.5136338787492476,-0.12228237206301519,-0.7240408293630207,0.37650985567072526,0.7007230534127687
2013-10-01,-0.1174047287841492,-0.13734022493226034,0.08158939293368639,-0.3691235948190976,0.03843287005213125,0.21786199413000507,0.151752068344829,1.1921861153326723
2014-01-01,-0.0063326727950104855,-0.5881926692772503,0.21007566793636068,0.6447332701744859,0.06478019829504345,-0.019077979207580698,-0.5927215099869423,1.3222252317489764
2014-04-01,-0.26651718965186844,0.2934092258037158,0.15119640756145505,0.5494128216336054,-0.11797239181347152,-0.22320698224296454,0.10920454354998371,-0.7834793390464045
2014-07-01,1.0560493333640675,-0.019694100401276726,-0.15434454489233312,0.6533039556969247,-0.2217425410906808,0.13623623069541713,-0.15089974423578195,-1.290538551471184
2014-10-01,0.23828029582408006,0.9128918659807673,-0.2998096889303167,0.5428003858049754,-0.18588743328822455,-0.41054757788817187,-0.21901097209796466,-0.5285820795033696
