sector,mse_global,n_zt
construction_immo,0.012366898961643284,51
extraction_primaire,0.011905495783449842,51
finance,0.007401019103497425,51
industrie,0.005208373155366827,51
info-com,0.00853783361857841,51
public,0.007616560467781319,51
services,0.007923312265546767,51
services_pro,0.03144344578244629,51
