date_q,econ_group,Z_group
2015-01-01,Finance,-0.9074230790923106
2015-04-01,Finance,-0.2727480143203824
2015-07-01,Finance,-1.164074770878391
2015-10-01,Finance,-0.540808746118041
2016-01-01,Finance,0.06671735197785862
2016-04-01,Finance,0.04218800036403499
2016-07-01,Finance,0.2533438349891792
2016-10-01,Finance,-0.036590710138450756
2017-01-01,Finance,-0.6728732783223453
2017-04-01,Finance,-0.5245956418674463
2017-07-01,Finance,-0.1927712385941924
2017-10-01,Finance,-0.8748729851482064
2018-01-01,Finance,0.06138552772384509
2018-04-01,Finance,-0.3893226725367395
2018-07-01,Finance,-0.21634204439271643
2018-10-01,Finance,-0.21062427066097236
2019-01-01,Finance,0.09270058768441325
2019-04-01,Finance,0.359603659466379
2019-07-01,Finance,-0.03577758230307438
2019-10-01,Finance,0.6596674251530558
2020-01-01,Finance,0.926042267786844
2020-04-01,Finance,1.2166977870291855
2020-07-01,Finance,0.5619292188712919
2020-10-01,Finance,-0.15137647073199442
2021-01-01,Finance,-0.6521280002203684
2021-04-01,Finance,-0.6094094909385025
2021-07-01,Finance,-0.8820641887289761
2021-10-01,Finance,-1.2007766815811662
2022-01-01,Finance,-1.0068364860986911
2022-04-01,Finance,-0.28564279735804093
2022-07-01,Finance,-0.056625114250969
2022-10-01,Finance,-0.23284192101713094
2023-01-01,Finance,0.23932985988830832
2023-04-01,Finance,0.059026204927781024
2023-07-01,Finance,0.2419106235366689
2023-10-01,Finance,0.12243737337244613
2024-01-01,Finance,0.2601332048452839
2011-01-01,Industrie,-0.0764905965116896
2011-04-01,Industrie,-0.08149649599097843
2011-07-01,Industrie,-0.11298838772632835
2011-10-01,Industrie,-0.31598981272166576
2012-01-01,Industrie,-0.39966825576723214
2012-04-01,Industrie,-0.38593347119275645
2012-07-01,Industrie,0.43541985344058814
2012-10-01,Industrie,-0.3538401232323729
2013-01-01,Industrie,-0.554346099209155
2013-04-01,Industrie,-0.8616897792712749
2013-07-01,Industrie,-0.34474528915862307
2013-10-01,Industrie,-0.917004367977793
2014-01-01,Industrie,-0.8778093909854103
2014-04-01,Industrie,-0.4703930971725094
2014-07-01,Industrie,-0.8909592890852096
2014-10-01,Industrie,-0.8436847985051861
2015-01-01,Industrie,0.9931749023618003
2015-04-01,Industrie,0.7835137007780631
2015-07-01,Industrie,-0.11327811458765864
2015-10-01,Industrie,0.5728471452681662
