sector,quarter,z_hat,nll,success,n_obs_cells,n_total,z_std
FINANCE,2011-07-01,-0.41486196859280977,0.11632715346179986,True,5,16,-0.10853318072021778
FINANCE,2011-10-01,-0.3652353492421865,0.19260076474380514,True,5,24,-0.04577884898625443
FINANCE,2012-01-01,-0.24568298046067313,0.37309153416124363,True,7,44,0.10539866639293863
FINANCE,2012-04-01,0.6174513990361068,5.163388344091818,True,8,73,1.1968576835635139
FINANCE,2012-07-01,1.1962956023547224,17.47812701900899,True,10,136,1.9288233429749262
FINANCE,2012-10-01,0.16695281842391899,28.36328664166912,True,12,137,0.6271888698633964
FINANCE,2013-01-01,-1.607567661946769,16.320601345153325,True,9,146,-1.6167448969547444
FINANCE,2013-04-01,-1.5363904829014108,28.142103484403656,True,10,146,-1.5267392434537064
FINANCE,2013-07-01,-1.4659981266866131,28.134961616357792,True,10,162,-1.4377260216940573
FINANCE,2013-10-01,-1.9122576050131783,23.96090255401311,True,9,164,-2.002034364853019
FINANCE,2014-01-01,-1.9369898028686774,25.432939904490148,True,10,164,-2.03330896241866
FINANCE,2014-04-01,-1.355652896486702,14.085315195785386,True,7,167,-1.2981912060681606
FINANCE,2014-07-01,-0.5972266302339764,26.839900771282153,True,8,167,-0.33913870297685356
FINANCE,2014-10-01,-1.1359372989290966,12.077904777642672,True,6,174,-1.0203543177877021
FINANCE,2015-01-01,-1.3459469563378792,14.154703930010818,True,7,175,-1.285917756942282
FINANCE,2015-04-01,-0.3155900761874548,1.6257457187836848,True,5,178,0.01699907090968733
FINANCE,2015-07-01,-1.187133592467127,35.999694200875595,True,11,177,-1.085093549076778
FINANCE,2015-10-01,-0.297440856273962,22.233096796933566,True,8,184,0.03994929766434694
FINANCE,2016-01-01,0.07030674023454828,17.121566163248787,True,8,181,0.504977038172182
FINANCE,2016-04-01,0.03064309861452256,26.965882030074887,True,7,179,0.4548211872081194
FINANCE,2016-07-01,0.490761541622812,16.1465551058304,True,6,243,1.0366546021633587
FINANCE,2016-10-01,-0.07154741948506241,8.179934257697376,True,6,305,0.3255982468426198
FINANCE,2017-01-01,-0.775249357629537,22.272054057139737,True,8,320,-0.5642537206296855
FINANCE,2017-04-01,-0.5705092730178364,7.816768422596318,True,6,341,-0.30535381253427313
FINANCE,2017-07-01,-0.12847588601990806,30.111538855530455,True,9,363,0.2536105128244519
FINANCE,2017-10-01,-0.8435168030870218,17.406704295513965,True,7,399,-0.6505799297272924
FINANCE,2018-01-01,0.04983106334801001,24.11843878765371,True,8,458,0.4790849375892894
FINANCE,2018-04-01,-0.39632800024061876,20.127476424789844,True,8,495,-0.08509642815598001
FINANCE,2018-07-01,-0.24281119017500424,5.057334114068642,True,5,540,0.10903013036560949
FINANCE,2018-10-01,-0.23139536295444793,25.96168802570031,True,8,550,0.12346578239652709
FINANCE,2019-01-01,0.07466512756620251,40.478528283459795,True,11,576,0.510488348191173
FINANCE,2019-04-01,0.27564141007823145,25.237448752838596,True,8,586,0.764628816924516
FINANCE,2019-07-01,-0.08341390175524455,31.66757194925285,True,10,611,0.31059272813829464
FINANCE,2019-10-01,0.5927050169795542,62.79973883393768,True,12,661,1.16556514965504
FINANCE,2020-01-01,1.9732938212861098,162.84378947119015,True,12,654,2.9113606309376325
FINANCE,2020-04-01,1.1827487567288308,93.47876168847363,True,11,698,1.9116929549799335
FINANCE,2020-07-01,0.6589094380071574,95.91087189598846,True,13,790,1.2492826031867403
FINANCE,2020-10-01,-0.17024922998846326,131.42902480314225,True,16,833,0.20078688068222447
FINANCE,2021-01-01,-0.6461781182665444,62.50500471245552,True,9,867,-0.40103931113964447
FINANCE,2021-04-01,-0.6592835689325841,88.23736648500285,True,14,904,-0.4176115421193358
FINANCE,2021-07-01,-0.9553922682601217,91.28179936688497,True,13,927,-0.7920497728524418
FINANCE,2021-10-01,-1.2462512449146252,131.2395113551017,True,14,946,-1.1598495735968497
FINANCE,2022-01-01,-1.0509502126227108,120.29790868242658,True,15,1007,-0.9128856270535444
FINANCE,2022-04-01,-0.39986439999213347,62.83663941356068,True,13,1050,-0.0895683105057027
FINANCE,2022-07-01,-0.08721483495418374,62.62881491467212,True,13,1077,0.30578633540016287
FINANCE,2022-10-01,-0.24890967945194328,52.378458436431885,True,11,1114,0.10131840983802042
FINANCE,2023-01-01,0.21429342346459848,45.82834530186048,True,10,1127,0.6870524687158542
FINANCE,2023-04-01,0.030351446886915996,20.99624990746087,True,8,1120,0.4544523849502889
FINANCE,2023-07-01,0.23184195459928614,35.5287527083463,True,8,1105,0.7092431066976483
FINANCE,2023-10-01,0.10303770647634665,26.061767398837457,True,8,1119,0.5463663155476753
FINANCE,2024-01-01,0.2934149180487421,41.04247828471295,True,8,1150,0.7871039447863872
INDUSTRIE,2011-04-01,0.00447286408332104,0.14189797303476712,True,3,14,0.15590575661390763
INDUSTRIE,2011-07-01,-0.06427358566798097,0.31552425994597194,True,5,32,0.07151984579332171
INDUSTRIE,2011-10-01,-1.1026898419201872,4.46762584905048,True,6,55,-1.2031307276071719
