sector,quarter,z_hat,nll,success,n_obs_cells,n_total
CONSTRUCTION & IMMOBILIER,2011-04-01,-5.316023012007107,0.711687041663492,True,1,1
CONSTRUCTION & IMMOBILIER,2011-07-01,0.33316186204335735,0.10295878851199616,True,2,10
CONSTRUCTION & IMMOBILIER,2011-10-01,0.35582244500144,0.1800224763056916,True,3,18
CONSTRUCTION & IMMOBILIER,2012-01-01,0.3524082317520596,0.2207827348661395,True,3,22
CONSTRUCTION & IMMOBILIER,2012-04-01,0.3505329687574433,0.24152838377133806,True,3,24
CONSTRUCTION & IMMOBILIER,2012-07-01,-0.6777812763831762,4.937326262555575,True,5,51
CONSTRUCTION & IMMOBILIER,2012-10-01,0.37690822553701436,11.094866441924374,True,7,56
CONSTRUCTION & IMMOBILIER,2013-01-01,0.3882673175747623,0.6160092870378493,True,5,64
CONSTRUCTION & IMMOBILIER,2013-04-01,-0.5212573961797321,5.200517226578072,True,6,63
CONSTRUCTION & IMMOBILIER,2013-07-01,-1.0566077776449447,8.861980741807102,True,7,62
CONSTRUCTION & IMMOBILIER,2013-10-01,0.3626702831401704,0.6452534034011331,True,5,66
CONSTRUCTION & IMMOBILIER,2014-01-01,0.3626702831401704,0.6452534034011331,True,5,66
CONSTRUCTION & IMMOBILIER,2014-04-01,-0.5219467759941605,5.259710223337314,True,6,65
CONSTRUCTION & IMMOBILIER,2014-07-01,-0.5178155847275906,5.219521090528954,True,6,65
CONSTRUCTION & IMMOBILIER,2014-10-01,-0.9872731917285658,9.09071314751128,True,6,68
CONSTRUCTION & IMMOBILIER,2015-01-01,-0.7687149997386268,20.002796303387456,True,8,74
CONSTRUCTION & IMMOBILIER,2015-04-01,-0.9218479913206484,9.268799869419391,True,6,76
CONSTRUCTION & IMMOBILIER,2015-07-01,-0.7058648829237906,21.011441494652278,True,8,78
CONSTRUCTION & IMMOBILIER,2015-10-01,-0.8549929888010248,9.443221311442482,True,7,82
CONSTRUCTION & IMMOBILIER,2016-01-01,0.3205920563817866,0.8807441008931869,True,5,88
CONSTRUCTION & IMMOBILIER,2016-04-01,-0.36648091451327824,5.622373495663056,True,6,89
CONSTRUCTION & IMMOBILIER,2016-07-01,-0.6549781756457772,9.489876658666397,True,7,110
CONSTRUCTION & IMMOBILIER,2016-10-01,-0.34536015507487444,11.362991769588312,True,8,194
CONSTRUCTION & IMMOBILIER,2017-01-01,0.30112056695960104,12.63851249860409,True,8,210
CONSTRUCTION & IMMOBILIER,2017-04-01,0.6084669028163291,6.921524877659814,True,7,217
CONSTRUCTION & IMMOBILIER,2017-07-01,0.2720153243147265,13.438765271498584,True,8,228
CONSTRUCTION & IMMOBILIER,2017-10-01,0.611538499177914,7.335833452788374,True,7,227
CONSTRUCTION & IMMOBILIER,2018-01-01,0.304920766031272,2.2729878893298134,True,6,228
CONSTRUCTION & IMMOBILIER,2018-04-01,0.2975558070233097,2.348196882688275,True,6,236
CONSTRUCTION & IMMOBILIER,2018-07-01,0.8351582293087166,11.485215830244687,True,7,236
CONSTRUCTION & IMMOBILIER,2018-10-01,0.3038412615484662,12.86999948840269,True,8,236
CONSTRUCTION & IMMOBILIER,2019-01-01,0.0005109850215523581,7.314565687676122,True,7,233
CONSTRUCTION & IMMOBILIER,2019-04-01,0.014386397249728539,6.703780085621445,True,7,231
CONSTRUCTION & IMMOBILIER,2019-07-01,0.42229362506907936,17.957801436559986,True,8,220
CONSTRUCTION & IMMOBILIER,2019-10-01,1.1056903762328214,15.76610431019533,True,8,215
CONSTRUCTION & IMMOBILIER,2020-01-01,2.2770287467848207,47.3344137346244,True,9,211
CONSTRUCTION & IMMOBILIER,2020-04-01,1.5161270191168486,49.8042586156254,True,9,214
CONSTRUCTION & IMMOBILIER,2020-07-01,1.1223356101284634,37.72632615284218,True,10,353
CONSTRUCTION & IMMOBILIER,2020-10-01,0.7633004995415624,88.6864684382038,True,12,382
CONSTRUCTION & IMMOBILIER,2021-01-01,0.33670145920384864,14.417676112688769,True,8,394
CONSTRUCTION & IMMOBILIER,2021-04-01,0.05825768123097126,67.02267883531842,True,12,390
CONSTRUCTION & IMMOBILIER,2021-07-01,-0.6184961297885324,35.59143132924789,True,9,411
CONSTRUCTION & IMMOBILIER,2021-10-01,-0.9697753858301053,66.21238831806278,True,12,418
CONSTRUCTION & IMMOBILIER,2022-01-01,-0.2388521192642458,44.56977132562123,True,12,428
CONSTRUCTION & IMMOBILIER,2022-04-01,-0.13084129998635485,29.522247591406476,True,11,441
CONSTRUCTION & IMMOBILIER,2022-07-01,0.1613564938663841,19.47542241070234,True,10,447
CONSTRUCTION & IMMOBILIER,2022-10-01,-0.008465463154411525,24.793562626104933,True,10,434
CONSTRUCTION & IMMOBILIER,2023-01-01,-0.020446704555240287,14.273330223350328,True,7,436
CONSTRUCTION & IMMOBILIER,2023-04-01,0.46400866132148916,9.565598510563133,True,7,445
CONSTRUCTION & IMMOBILIER,2023-07-01,0.46470966668606656,9.539037153962468,True,7,437
CONSTRUCTION & IMMOBILIER,2023-10-01,0.46357432976887314,9.421223070819057,True,7,431
CONSTRUCTION & IMMOBILIER,2024-01-01,0.29588964353114006,4.153071985972229,True,6,424
FINANCE,2011-04-01,-0.6403313673153729,0.022800473993042265,True,3,6
FINANCE,2011-07-01,-0.10853318072021778,0.11632715346179986,True,5,16
FINANCE,2011-10-01,-0.04577884898625443,0.19260076474380514,True,5,24
FINANCE,2012-01-01,0.10539866639293863,0.37309153416124363,True,7,44
FINANCE,2012-04-01,1.1968576835635139,5.163388344091818,True,8,73
FINANCE,2012-07-01,1.9288233429749262,17.47812701900899,True,10,136
FINANCE,2012-10-01,0.6271888698633964,28.36328664166912,True,12,137
FINANCE,2013-01-01,-1.6167448969547444,16.320601345153325,True,9,146
FINANCE,2013-04-01,-1.5267392434537064,28.142103484403656,True,10,146
FINANCE,2013-07-01,-1.4377260216940573,28.134961616357792,True,10,162
FINANCE,2013-10-01,-2.002034364853019,23.96090255401311,True,9,164
FINANCE,2014-01-01,-2.03330896241866,25.432939904490148,True,10,164
FINANCE,2014-04-01,-1.2981912060681606,14.085315195785386,True,7,167
FINANCE,2014-07-01,-0.33913870297685356,26.839900771282153,True,8,167
FINANCE,2014-10-01,-1.0203543177877021,12.077904777642672,True,6,174
FINANCE,2015-01-01,-1.285917756942282,14.154703930010818,True,7,175
FINANCE,2015-04-01,0.01699907090968733,1.6257457187836848,True,5,178
FINANCE,2015-07-01,-1.085093549076778,35.999694200875595,True,11,177
FINANCE,2015-10-01,0.03994929766434694,22.233096796933566,True,8,184
FINANCE,2016-01-01,0.504977038172182,17.121566163248787,True,8,181
FINANCE,2016-04-01,0.4548211872081194,26.965882030074887,True,7,179
FINANCE,2016-07-01,1.0366546021633587,16.1465551058304,True,6,243
FINANCE,2016-10-01,0.3255982468426198,8.179934257697376,True,6,305
FINANCE,2017-01-01,-0.5642537206296855,22.272054057139737,True,8,320
FINANCE,2017-04-01,-0.30535381253427313,7.816768422596318,True,6,341
FINANCE,2017-07-01,0.2536105128244519,30.111538855530455,True,9,363
