sector,mse_global,n_zt
construction_immo,0.028407647165579607,51
extraction_primaire,0.028009002966295174,51
finance,0.021284737274888645,51
industrie,0.007971310645399061,51
info-com,0.027062809106980626,51
public,0.018593250006021585,51
services,0.025525505422924272,51
services_pro,0.060250500242353275,51
