sector,year_quarter,z_t
construction_immo,2010-07-01,3.301088302446066
construction_immo,2010-10-01,3.3035404414993734
construction_immo,2011-01-01,3.3035404414993734
construction_immo,2011-04-01,3.3035898108571358
construction_immo,2011-07-01,3.3035898108571358
construction_immo,2011-10-01,3.3035898108571358
construction_immo,2012-01-01,3.3035898108571358
construction_immo,2012-04-01,3.3035898108571358
construction_immo,2012-07-01,2.44790130963319
construction_immo,2012-10-01,-1.7941623774165478
construction_immo,2013-01-01,-1.7941623774165478
construction_immo,2013-04-01,-1.7941623774165478
construction_immo,2013-07-01,-1.7941623774165478
construction_immo,2013-10-01,-1.7941623774165478
construction_immo,2014-01-01,-2.6080332523147804
construction_immo,2014-04-01,-1.7941623774165478
construction_immo,2014-07-01,-1.7941623774165478
construction_immo,2014-10-01,-1.7941623774165478
construction_immo,2015-01-01,-1.7941623774165478
construction_immo,2015-04-01,-1.7941623774165478
construction_immo,2015-07-01,-2.2322862136802275
construction_immo,2015-10-01,-1.7941623774165478
construction_immo,2016-01-01,-1.7941623774165478
construction_immo,2016-04-01,-1.756226170828793
construction_immo,2016-07-01,3.32125412000767
construction_immo,2016-10-01,-1.839825039729923
construction_immo,2017-01-01,-1.839825039729923
construction_immo,2017-04-01,-1.7941623774165478
construction_immo,2017-07-01,-0.17950339415671282
construction_immo,2017-10-01,-0.17950339415671282
construction_immo,2018-01-01,-0.17950339415671282
construction_immo,2018-04-01,2.094223279478615
construction_immo,2018-07-01,2.094223279478615
construction_immo,2018-10-01,2.094223279478615
construction_immo,2019-01-01,2.0905102548013224
construction_immo,2019-04-01,1.4953565333335377
construction_immo,2019-07-01,1.4953565333335377
construction_immo,2019-10-01,1.5493299238755127
construction_immo,2020-01-01,-0.1946174091685503
construction_immo,2020-04-01,-0.16952515801177107
construction_immo,2020-07-01,-0.19696335647199673
construction_immo,2020-10-01,1.9587930561964177
construction_immo,2021-01-01,2.3818690649427494
construction_immo,2021-04-01,2.226223285576077
construction_immo,2021-07-01,2.4696738968971004
construction_immo,2021-10-01,2.5258257726678752
construction_immo,2022-01-01,2.599924217505947
construction_immo,2022-04-01,2.599924217505947
construction_immo,2022-07-01,2.2123959499795833
construction_immo,2022-10-01,-3.9857173028916444
construction_immo,2023-01-01,3.301088302446066
extraction_primaire,2010-07-01,-2.4226654103866996
extraction_primaire,2010-10-01,0.10067050140497942
extraction_primaire,2011-01-01,0.10067050140497942
extraction_primaire,2011-04-01,-0.8774608409829233
extraction_primaire,2011-07-01,-0.8774608409829233
extraction_primaire,2011-10-01,0.3494028627085675
extraction_primaire,2012-01-01,0.3494028627085675
extraction_primaire,2012-04-01,0.4832071698128638
extraction_primaire,2012-07-01,0.1415098705752099
extraction_primaire,2012-10-01,0.21153726245357368
extraction_primaire,2013-01-01,0.15461161659995198
extraction_primaire,2013-04-01,0.15091804434527317
extraction_primaire,2013-07-01,0.26453458633530513
extraction_primaire,2013-10-01,-0.32507435586871314
extraction_primaire,2014-01-01,-0.9213685252024036
extraction_primaire,2014-04-01,-1.0646637473257423
extraction_primaire,2014-07-01,-0.8505578079238726
extraction_primaire,2014-10-01,2.0722947351540992
extraction_primaire,2015-01-01,1.9443775460364856
extraction_primaire,2015-04-01,2.0132486984806035
extraction_primaire,2015-07-01,1.9801351670404852
extraction_primaire,2015-10-01,1.0282395768584978
extraction_primaire,2016-01-01,1.316567953894833
extraction_primaire,2016-04-01,1.318243711239503
extraction_primaire,2016-07-01,1.6262432927981394
extraction_primaire,2016-10-01,-1.3868626228145788
extraction_primaire,2017-01-01,-1.4006885149835846
extraction_primaire,2017-04-01,-1.2547805694832515
extraction_primaire,2017-07-01,-1.2280199529426807
extraction_primaire,2017-10-01,-0.3077350433144371
extraction_primaire,2018-01-01,-0.26857705035172946
extraction_primaire,2018-04-01,-0.2670760658557198
extraction_primaire,2018-07-01,-0.6103621710395505
extraction_primaire,2018-10-01,-0.9705421697132319
extraction_primaire,2019-01-01,-1.0861684405509315
extraction_primaire,2019-04-01,-1.8451258036297504
extraction_primaire,2019-07-01,-1.631671804043613
extraction_primaire,2019-10-01,-1.2952637005458956
extraction_primaire,2020-01-01,-1.0065210571184415
extraction_primaire,2020-04-01,-0.3412296544676451
extraction_primaire,2020-07-01,-1.0550577439806474
extraction_primaire,2020-10-01,-1.1658023477360868
extraction_primaire,2021-01-01,-2.836442143719479
extraction_primaire,2021-04-01,-1.6267150762282663
extraction_primaire,2021-07-01,-0.37696582845925786
extraction_primaire,2021-10-01,-1.4041297785731157
extraction_primaire,2022-01-01,-2.2997739803455834
extraction_primaire,2022-04-01,-2.5185040992167256
extraction_primaire,2022-07-01,-2.5185040992167256
extraction_primaire,2022-10-01,-2.1449084110374192
extraction_primaire,2023-01-01,-2.260594243166312
finance,2010-07-01,-3.0132145990986348
finance,2010-10-01,2.3127397738525994
finance,2011-01-01,2.3127397738525994
finance,2011-04-01,1.8627637106899566
finance,2011-07-01,1.834130867543225
finance,2011-10-01,-1.2588942387489936
finance,2012-01-01,-1.9373976283433294
finance,2012-04-01,-0.8231792751204767
finance,2012-07-01,-0.3928524275616004
finance,2012-10-01,1.147332144521319
finance,2013-01-01,1.340642644021792
finance,2013-04-01,1.2849377966614677
finance,2013-07-01,1.519985339891423
finance,2013-10-01,1.3476455958383684
finance,2014-01-01,1.63983631538637
finance,2014-04-01,1.0891288535691184
finance,2014-07-01,-0.4327729755552627
finance,2014-10-01,-0.23783861157747913
finance,2015-01-01,0.09953697265996705
finance,2015-04-01,1.3095538806466227
finance,2015-07-01,1.570404160242371
