sector,year_quarter,z_t
construction_immo,2010-07-01,2.2608374795424147
construction_immo,2010-10-01,2.2608374795424147
construction_immo,2011-01-01,1.2519081582589267
construction_immo,2011-04-01,1.2519081582589267
construction_immo,2011-07-01,1.2519081582589267
construction_immo,2011-10-01,1.2519081582589267
construction_immo,2012-01-01,1.2519081582589267
construction_immo,2012-04-01,1.3550356046482315
construction_immo,2012-07-01,1.3550356046482315
construction_immo,2012-10-01,1.5840643407390032
construction_immo,2013-01-01,1.5810530576443949
construction_immo,2013-04-01,1.3817369770615242
construction_immo,2013-07-01,1.3817369770615242
construction_immo,2013-10-01,1.1890777787536004
construction_immo,2014-01-01,1.1890777787536004
construction_immo,2014-04-01,1.1890777787536004
construction_immo,2014-07-01,1.611068790235624
construction_immo,2014-10-01,1.4874694907860613
construction_immo,2015-01-01,1.4874694907860613
construction_immo,2015-04-01,1.5146104359017447
construction_immo,2015-07-01,1.1229444141828007
construction_immo,2015-10-01,1.1229444141828007
construction_immo,2016-01-01,1.1229444141828007
construction_immo,2016-04-01,1.122144330315462
construction_immo,2016-07-01,1.122144330315462
construction_immo,2016-10-01,1.1214072883911093
construction_immo,2017-01-01,1.1214072883911093
construction_immo,2017-04-01,1.1247762031231356
construction_immo,2017-07-01,1.1247762031231356
construction_immo,2017-10-01,1.1226161087984012
construction_immo,2018-01-01,1.1226161087984012
construction_immo,2018-04-01,1.1229444141828007
construction_immo,2018-07-01,1.1229444141828007
construction_immo,2018-10-01,1.1585086294531857
construction_immo,2019-01-01,1.1974173921260904
construction_immo,2019-04-01,-1.181676078489255
construction_immo,2019-07-01,-1.5360938916267524
construction_immo,2019-10-01,1.1505759341309367
construction_immo,2020-01-01,0.03965189994495117
construction_immo,2020-04-01,0.20818420376339922
construction_immo,2020-07-01,0.1892886148380375
construction_immo,2020-10-01,2.1866758437516527
construction_immo,2021-01-01,2.0985510124749247
construction_immo,2021-04-01,1.1811804893574256
construction_immo,2021-07-01,0.12227198938923839
construction_immo,2021-10-01,0.15600995003861318
construction_immo,2022-01-01,-0.20057170977472677
construction_immo,2022-04-01,0.05250069963653219
construction_immo,2022-07-01,1.1247762031231356
construction_immo,2022-10-01,-4.012037926942685
construction_immo,2023-01-01,2.2608374795424147
extraction_primaire,2010-07-01,0.6562714955191881
extraction_primaire,2010-10-01,1.5070538209299413
extraction_primaire,2011-01-01,1.5070538209299413
extraction_primaire,2011-04-01,-1.0634509397462224
extraction_primaire,2011-07-01,-1.0634509397462224
extraction_primaire,2011-10-01,0.4631832611822999
